กฟฟ.,ทะเบียน,จว.,รหัส,ยี่ห้อ,ลักษณะ/พิกัด,เลขเครื่อง,รุ่น/เลขชัชซี่,วันจดทะเบียน,อายุ,ประกันภัย,เชื้อเพลิง
TEST\nTEST\nTEST\nTEST\nTEST\nTEST,A,,,,,,,,,,
กฟต.1,1กข-9945,พบ.  ,ต.1-20-3761,HONDA               ,จักรยานยนต์ไฟฟ้า                                  ,ZZB1111134791,XF20120229119/ZS1000DT-2,23/5/2557,3,,น้ำมันหล่อลื่น อื่น ๆ
กฟต.1,1กข-9946,พบ.  ,ต.1-20-3766,TOYOTA              ,จักรยานยนต์ไฟฟ้า                                  ,ZZB1111134797,XF20120229073/ ZS1000DT-2,23/5/2557,3,,น้ำมันหล่อลื่น อื่น ๆ
กฟต.1,1กข-9950,พบ.  ,ต.1-20-3760,HONDA               ,จักรยานยนต์ไฟฟ้า                                  ,ZZB1111134796,XF20120229092 /ZS1000DT-2,23/5/2557,3,,น้ำมันหล่อลื่น อื่น ๆ
กฟต.1,1กข-9951,พบ.  ,ต.1-20-3762,TOYOTA              ,จักรยานยนต์ไฟฟ้า                                  ,ZZB1111134794,XF20120229076 / ZS1000DT-2,23/5/2557,3,,น้ำมันหล่อลื่น อื่น ๆ
กฟต.1,40-0054 ,พบ.  ,ต.1-05-0037,ISUZU               ,รถโดยสาร                                          ,4JB1-968032,NKR55EU1M-7153920,1/9/2538,22,ป.3,ดีเชล
กฟต.1,80-7610 ,พบ.  ,ต.1-04-2582,ISUZU               ,บรรทุก 6 ตัน                                      ,6BD1-489733,HTR114-3902299 / HTR114,1/10/2534,26,ป.3,ดีเชล
กฟต.1,80-7792,พบ.  ,ต.1-04-2697,ISUZU               ,บรรทุกเฉพาะกิจ(แก้ไฟ) 2 ตัน                       ,4JB1-600479,NKR55EU1M-7107829 /NKR55EU1W /SB,15/6/2535,25,ป.3,ดีเชล
กฟต.1,80-7847 ,พบ.  ,ต.1-04-1000,ISUZU               ,บรรทุก 6 ตัน                                      ,839825,1676971,4/12/2522,38,ป.3,ดีเชล
กฟต.1,80-7849 ,พบ.  ,ต.1-04-1833,ISUZU               ,บรรทุก 6 ตัน                                      ,6BD1-367825,1697956,8/12/2526,34,ป.3,ดีเชล
กฟต.1,80-8170 ,พบ.  ,ต.1-09-0193,MITSUBISHI          ,ขุดเจาะ                                           ,6D14-TD0281,FK455F-TD0281 /FK455F,1/9/2536,24,ป.3/บ.1,ดีเชล
